Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180709-132453:416,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1252295,31250,TRUE,58439,1y,10y,262409,525513,525513,1/1/1855,01/01/2015,80.43553109,266.6778632,2.34E-06,src/main/resources/valipop/results/batch53-fs/20180709-132453:416,0,0,0.5,1,TRUE,147,8901.277304,NONE,22,373.3768346,,
20180709-132520:089,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1183984,31250,TRUE,58439,1y,10y,248002,496847,496847,1/1/1855,01/01/2015,79.60727073,255.592241,2.22E-06,src/main/resources/valipop/results/batch53-fs/20180709-132520:089,0,0,0.5,1,TRUE,147,9208.341632,NONE,17,361.6943507,,
20180709-132736:123,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187426,31250,TRUE,58439,1y,10y,248395,498555,498555,1/1/1855,01/01/2015,80.95264967,262.7463069,2.37E-06,src/main/resources/valipop/results/batch53-fs/20180709-132736:123,0,0,0.5,1,TRUE,147,9187.644464,NONE,26,360.5626915,,
20180709-133023:043,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188272,31250,TRUE,58439,1y,10y,248677,499218,499218,1/1/1855,01/01/2015,177.131731,630.9765495,2.47E-06,src/main/resources/valipop/results/batch53-fs/20180709-133023:043,0,0,0.6,0.05,TRUE,147,8408.693768,NONE,22,816.5984478,,
20180709-135731:697,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191108,31250,TRUE,58439,1y,10y,249091,499984,499984,1/1/1855,01/01/2015,174.8278824,654.4667586,2.46E-06,src/main/resources/valipop/results/batch53-fs/20180709-135731:697,0,0,0.6,0.05,TRUE,147,8817.408112,NONE,22,841.3002363,,
20180709-142526:494,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190235,31250,TRUE,58439,1y,10y,248874,499851,499851,1/1/1855,01/01/2015,173.0544894,628.6660293,2.61E-06,src/main/resources/valipop/results/batch53-fs/20180709-142526:494,0,0,0.6,0.05,TRUE,147,7123.492312,NONE,20,838.6230118,,
20180709-145250:728,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1195901,31250,TRUE,58439,1y,10y,250160,502179,502179,1/1/1855,01/01/2015,173.1827302,637.9913439,2.30E-06,src/main/resources/valipop/results/batch53-fs/20180709-145250:728,0,0,0.65,0.05,TRUE,147,8861.69588,NONE,16,822.2677036,,
20180709-152008:201,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190707,31250,TRUE,58439,1y,10y,249084,500286,500286,1/1/1855,01/01/2015,173.0815085,629.2039056,2.29E-06,src/main/resources/valipop/results/batch53-fs/20180709-152008:201,0,0,0.65,0.05,TRUE,147,9057.48848,NONE,20,825.4383159,,
20180709-154720:136,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189807,31250,TRUE,58439,1y,10y,249020,499238,499238,1/1/1855,01/01/2015,173.0229358,628.1881482,2.34E-06,src/main/resources/valipop/results/batch53-fs/20180709-154720:136,0,0,0.65,0.05,TRUE,147,9133.022104,NONE,28,828.1994772,,
20180709-161433:749,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1253214,31250,TRUE,58439,1y,10y,262189,526507,526507,1/1/1855,01/01/2015,182.5071565,644.6699826,2.37E-06,src/main/resources/valipop/results/batch53-fs/20180709-161433:749,0,0,0.65,0.05,TRUE,147,9072.705232,NONE,18,832.4612734,,
