Start Time,Reason,Code Version,Inputs Directory,Total Pop,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor
20170810-105445:389,exp-a,dev-bf,src/main/resources/scotland_test_population,104818,true,58804,1y,10y,17953,17347,17958,1/1/1855,1/1/2016,8.488360865,254.701345023,1.947426867,results/exp-a/20170810-105445:389,0.0
20170810-105240:988,exp-b,dev-bf,src/main/resources/scotland_test_population,2096316,true,58804,1y,10y,359139,346923,359065,1/1/1855,1/1/2016,102.012195571,400.586095303,36.4337919,results/exp-b/20170810-105240:988,0.0
20170810-094254:695,bf-search-e,dev-bf,src/main/resources/scotland_test_population,16786015,true,58804,1y,10y,2876044,2780179,2875450,1/1/1855,1/1/2016,1310.400601007,2781.740281858,688.49860429,results/bf-search-e/20170810-094254:695,3.0000000000000004E-5
20170810-105910:527,exp-a,dev-bf,src/main/resources/scotland_test_population,104893,true,58804,1y,10y,17976,17357,17968,1/1/1855,1/1/2016,6.955014718,248.971632115,1.348637377,results/exp-a/20170810-105910:527,0.0
20170810-102415:208,search-v-d,dev-bf,src/main/resources/scotland_test_population,8405235,true,58804,1y,10y,1436540,1387666,1436235,1/1/1855,1/1/2016,770.109596253,1426.183113248,180.162686971,results/search-v-d/20170810-102415:208,4.5E-5
20170810-110140:021,exp-b,dev-bf,src/main/resources/scotland_test_population,2096340,true,58804,1y,10y,359144,346924,359069,1/1/1855,1/1/2016,95.002573379,338.840393338,30.969580851,results/exp-b/20170810-110140:021,0.0
20170810-105853:364,exp-c,dev-bf,src/main/resources/scotland_test_population,4192660,true,58804,1y,10y,718285,693859,718128,1/1/1855,1/1/2016,215.303640783,458.931695109,67.037211083,results/exp-c/20170810-105853:364,0.0
20170810-110924:834,exp-b,dev-bf,src/main/resources/scotland_test_population,2096304,true,58804,1y,10y,359138,346919,359060,1/1/1855,1/1/2016,87.151207167,350.872651312,33.477497665,results/exp-b/20170810-110924:834,0.0
20170810-111114:637,exp-c,dev-bf,src/main/resources/scotland_test_population,4192644,true,58804,1y,10y,718284,693857,718125,1/1/1855,1/1/2016,196.874428695,464.408618367,65.053639985,results/exp-c/20170810-111114:637,0.0
20170810-111716:335,exp-b,dev-bf,src/main/resources/scotland_test_population,2096403,true,58804,1y,10y,359150,346935,359076,1/1/1855,1/1/2016,90.123591974,329.269915805,29.051515362,results/exp-b/20170810-111716:335,0.0
20170810-110351:664,search-v-d,dev-bf,src/main/resources/scotland_test_population,8385719,true,58804,1y,10y,1436664,1387789,1436348,1/1/1855,1/1/2016,595.964137636,934.576657115,139.48048599,results/search-v-d/20170810-110351:664,5.0E-5
20170810-112444:780,exp-b,dev-bf,src/main/resources/scotland_test_population,2096254,true,58804,1y,10y,359131,346915,359047,1/1/1855,1/1/2016,90.550097508,321.038971529,29.91665979,results/exp-b/20170810-112444:780,0.0
20170810-112320:974,exp-c,dev-bf,src/main/resources/scotland_test_population,4192512,true,58804,1y,10y,718252,693830,718098,1/1/1855,1/1/2016,193.891626174,442.526366783,69.87960826,results/exp-c/20170810-112320:974,0.0
20170810-113206:286,exp-b,dev-bf,src/main/resources/scotland_test_population,2096288,true,58804,1y,10y,359136,346921,359061,1/1/1855,1/1/2016,88.376504921,380.02646939,33.973178982,results/exp-b/20170810-113206:286,0.0
20170810-113507:272,exp-c,dev-bf,src/main/resources/scotland_test_population,4192590,true,58804,1y,10y,718268,693842,718116,1/1/1855,1/1/2016,202.49394361,505.965667945,67.508837135,results/exp-c/20170810-113507:272,0.0
20170810-114028:663,exp-b,dev-bf,src/main/resources/scotland_test_population,2096301,true,58804,1y,10y,359136,346916,359063,1/1/1855,1/1/2016,93.544024596,368.486950708,32.405088097,results/exp-b/20170810-114028:663,0.0
